time;a;d;g;r;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
1220;112.638;3.6312089;1.85347;0.3109938;8.49757;-5.62909;1.63564;1.90587;-0.21869;-0.06101;-0.64229;0.06169;-0.0832;-1.29793
1230;115.427;3.5348392;1.84362;0.3391746;8.20454;-4.79588;1.26237;1.77988;-0.67998;-0.33523;-0.58822;0.02061;-0.10492;-0.95011
1240;111.622;3.4954398;1.82979;0.3326651;8.23771;-4.5333;1.44024;1.57844;-0.78489;0.12311;-0.43906;-0.41396;0.05948;-1.00253
1250;114.216;3.5106454;1.82408;0.3438768;8.31429;-3.59147;2.03156;1.14601;-0.94882;0.11506;-0.5781;-0.94842;0.26056;-0.93077
1260;117.206;3.4749665;1.82362;0.3510591;8.48473;-3.5239;1.943;0.83098;-1.83741;-0.21313;-0.21797;-0.81818;0.49853;-0.83378
1270;113.291;3.5384796;1.84649;0.3469003;8.61183;-4.0506;2.06293;1.34192;-1.3671;-0.28006;-0.84581;-0.30641;0.23815;-0.94948
1280;115.488;3.4698267;1.83918;0.3263836;8.12931;-4.54689;1.92725;1.59148;-0.87103;0.19758;-0.29401;-0.23123;-0.0076;-0.79092
1290;117.058;3.5209942;1.84798;0.3546544;8.50251;-4.45872;1.27572;1.63503;-0.83863;0.28313;-0.71048;-0.46023;-0.05508;-0.79915
1300;113.97;3.5900764;1.84122;0.3328733;8.15609;-4.82859;1.53655;1.99514;-0.59808;0.15897;-0.93113;-0.09092;0.08854;-1.23287
1310;115;3.6609786;1.84994;0.3365411;8.44981;-5.18419;1.30654;1.93526;-0.15871;0.13472;-0.79259;-0.18606;-0.12397;-1.10952
1320;112.038;3.4152398;1.81721;0.3151839;7.58721;-5.14277;1.74736;1.34961;-0.90018;-0.13839;-0.393;0.15581;0.12232;-0.98909
1330;115.479;3.4745874;1.82972;0.2957279;7.78791;-5.31585;2.08177;1.27054;-0.51331;-0.05671;-0.485;0.13759;0.34216;-1.03075
1340;115.903;3.3635452;1.82711;0.3150481;7.45315;-4.97139;2.22544;1.52954;-1.09008;-0.6112;-0.55916;0.75614;0.35913;-0.74219
